GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,COUNT,Shape_Leng,Shape_Area
53033005802,3091582,1156787,47.6353633,-122.3802928,5059,0.137545114,0.000508447
53033003600,1196463,0,47.6771912,-122.3242054,5672,0.060606798,0.000143309
53033003500,1284761,0,47.6725466,-122.3520881,3936,0.053705459,0.000153873
53033003400,787147,0,47.6740646,-122.3617463,3302,0.040984194,9.42779E-05
53033003300,1296368,0,47.6759714,-122.3768125,6224,0.05817234,0.000155273
53033003200,2475044,1014738,47.6753292,-122.4022854,7683,0.099399516,0.000417982
53033003100,2232860,465516,47.6877574,-122.3964308,6219,0.094523274,0.000323266
53033025400,2300848,0,47.494539,-122.1839089,6925,0.071005206,0.000274642
53033025500,1524600,0,47.4970722,-122.1699618,4841,0.056898019,0.000181994
53033025702,2852893,0,47.4638347,-122.16465,3495,0.117194753,0.000340343
53033032316,6225176,2654247,47.6392221,-122.0712508,5495,0.178046641,0.001062791
53033032318,7354258,0,47.6350729,-122.0320767,5646,0.160403406,0.000880177
53033031202,66664775,755179,47.2529061,-122.0687913,6401,0.534934844,0.008011731
53033031204,36871877,608947,47.306388,-122.129911,6038,0.345764675,0.00445799
53033031302,10879017,100642,47.1859757,-122.0118854,4371,0.19224351,0.001303053
53033032601,61321771,1099683,47.5830194,-121.8625236,2785,0.556257614,0.007464146
53033027600,2846424,1307943,47.4745719,-122.3595893,4648,0.126749336,0.000495714
53033029305,2897239,2248,47.4219144,-122.2114434,3914,0.077551797,0.000345635
53033029304,4132285,30364,47.4382513,-122.1715428,4836,0.094433598,0.000496352
53033029303,3608397,1116,47.4364727,-122.1998867,7517,0.093314708,0.000430386
53033029204,4234266,1687,47.3955305,-122.2160422,6666,0.09989098,0.000504724
53033003000,1493249,0,47.6850958,-122.3740444,5637,0.054577088,0.000178886
53033002900,986207,0,47.6850872,-122.3606466,4177,0.043651383,0.000118144
53033002800,983387,0,47.68512,-122.3499256,4481,0.043044025,0.000117806
53033002700,1593775,0,47.6868673,-122.3311252,5289,0.08257403,0.000190934
53033002600,1216657,28175,47.6822031,-122.3113993,4660,0.050714459,0.000149119
53033002500,984333,0,47.6838969,-122.3022793,2802,0.052050247,0.000117917
53033002400,978103,0,47.6866812,-122.2878258,2972,0.048158611,0.000117176
53033002200,2767963,1488647,47.6922985,-122.2695132,5286,0.166475473,0.000510028
53033002100,1365467,0,47.6953673,-122.2980453,3807,0.054882718,0.000163609
53033002000,1103292,28680,47.695331,-122.3108025,3406,0.051268076,0.000135632
53033031400,6377757,1179,47.206636,-121.9889145,5780,0.138275609,0.000757333
53033032007,11492547,144662,47.3907805,-122.0670808,3457,0.228883938,0.001386447
53033025101,2935513,0,47.509392,-122.1549957,5797,0.082395172,0.000350498
53033025200,4544252,0,47.5106885,-122.1827358,7929,0.139277773,0.000542592
53033022003,2318497,0,47.725731,-122.1982413,5031,0.069686368,0.000277961
53033022201,2290376,0,47.7263403,-122.2320467,4268,0.076842599,0.000274592
53033029203,2010123,0,47.3862746,-122.2313701,3537,0.096021449,0.000239453
53033029004,1825372,0,47.3799024,-122.2968653,3751,0.102037936,0.000217418
53033029003,2574768,0,47.3824985,-122.3057539,5466,0.108573513,0.000306694
53033029001,2635370,952681,47.3840122,-122.3220799,4230,0.086516311,0.000427408
53033027500,2229521,0,47.4816357,-122.341172,4718,0.06616099,0.000266064
53033027400,3325461,0,47.4827326,-122.3236114,5421,0.082413656,0.000396859
53033001900,1663251,0,47.696535,-122.326216,4157,0.068883761,0.000199294
53033001800,942974,0,47.694045,-122.3419779,4535,0.049372868,0.000112983
53033001600,2041021,457717,47.7004763,-122.3799018,4131,0.091720097,0.000299426
53033001500,1170487,398486,47.6945678,-122.3949423,2454,0.062286297,0.000187999
53033001400,2137298,211433,47.7078795,-122.3674088,4848,0.124093464,0.000281485
53033001300,1183989,0,47.7022812,-122.342179,4340,0.051510567,0.000141884
53033001200,1834052,0,47.7071214,-122.3228194,6494,0.071358422,0.000219803
53033001100,1060418,0,47.706547,-122.3068073,2503,0.046925268,0.000127086
53033001000,954457,0,47.7064067,-122.2960648,1941,0.04364587,0.000114386
53033000900,996458,2531309,47.7063747,-122.2749586,2019,0.093986581,0.000422791
53033022202,2613884,0,47.7206893,-122.2143318,7073,0.090575626,0.000313343
53033032323,3291842,0,47.6986018,-122.1117667,5483,0.098174911,0.00039445
53033021600,2855710,143532,47.767033,-122.2582785,4513,0.089108319,0.000359854
53033021903,3133850,10680,47.7175135,-122.1788294,5695,0.099537863,0.000376937
